autor,likes
Tanmay N,542.0
Albert Nicolau,251.0
mehedi hasan,209.0
--,201.0
Daniel Bourke,199.0
Azim Surani,196.0
Afonso Alcântara,180.0
Google Cloud Tech,170.0
Chris Titus Tech,162.0
Ganji Raja,158.0
Giovanni Orsini,144.0
DIPAYAN MUKHOPADHYAY,123.0
kupangjc,94.0
Rob L,92.0
Pietti,90.0
Rakkina Hito,86.0
Cro Nox,84.0
Ariel Jimenez,74.0
Intellipaat,73.0
Mohammad Islam,70.0
Jeff H Sipe,62.0
UTECHPIA,61.0
Chris Lol,60.0
Md Azeemuddin,59.0
Subramanian Chenniappan,56.0
Cloud Advocate,56.0
Darwin R,55.0
Mustafa Güven,54.0
Kevin Brown,54.0
Technology Gyan,52.0
