date,Python,Machine Learning,Google Cloud,Deep Learning,SQL,isPartial
2020-05-17,87,4,3,0,59,False
2020-05-24,75,9,5,1,50,False
2020-05-31,69,5,5,1,53,False
2020-06-07,91,8,7,1,48,False
2020-06-14,86,8,6,1,40,False
2020-06-21,93,8,5,0,32,False
2020-06-28,80,3,6,2,40,False
2020-07-05,74,10,3,1,50,False
2020-07-12,81,5,5,0,56,False
2020-07-19,86,6,5,2,54,False
2020-07-26,81,4,11,2,45,False
2020-08-02,88,6,8,1,43,False
2020-08-09,65,7,3,3,50,False
2020-08-16,91,8,5,1,38,False
2020-08-23,90,6,4,1,55,False
2020-08-30,83,4,8,3,49,False
2020-09-06,100,2,3,1,48,False
2020-09-13,83,2,4,1,56,False
2020-09-20,66,4,3,1,44,False
2020-09-27,69,4,0,1,41,False
2020-10-04,75,9,5,2,48,False
2020-10-11,66,3,4,2,30,False
2020-10-18,68,5,2,1,41,False
2020-10-25,65,2,3,4,33,False
2020-11-01,57,4,4,0,45,False
2020-11-08,59,7,3,2,34,False
2020-11-15,60,5,2,2,35,False
2020-11-22,55,4,4,2,38,False
2020-11-29,58,2,3,0,44,False
2020-12-06,40,3,6,3,32,False
2020-12-13,52,4,2,0,28,False
2020-12-20,51,2,3,0,24,False
2020-12-27,52,2,7,1,19,False
2021-01-03,42,5,2,0,35,False
2021-01-10,50,3,2,1,28,False
2021-01-17,54,5,4,0,37,False
2021-01-24,48,5,6,1,37,False
2021-01-31,71,2,3,1,36,False
2021-02-07,49,6,7,1,45,False
2021-02-14,60,4,5,0,26,False
2021-02-21,63,9,2,0,31,False
2021-02-28,69,2,6,0,42,False
2021-03-07,62,2,1,2,44,False
2021-03-14,63,9,5,0,41,False
2021-03-21,69,5,2,2,33,False
2021-03-28,65,3,1,2,33,False
2021-04-04,65,2,2,2,36,False
2021-04-11,78,7,4,2,46,False
2021-04-18,100,3,3,1,44,False
2021-04-25,88,3,1,0,46,False
2021-05-02,100,3,9,0,47,False
2021-05-09,68,3,5,0,45,True
